Level,Degree,Term,coursename,courseID,courseType,credithours,grade
D,PhDBI,1,Biophysics,BIO818,Major,4,99
D,PhDBI,1,Genetic Engineering,GEN682,Major,4,78
D,PhDBI,1,Ecology,ECO697,Major,2,99
D,PhDBI,1,Molecular Biology,MOL628,Major,4,89
D,PhDBI,1,Biological Chemistry,BIO998,Major,2,98
D,PhDBI,1,Design of Reinforced Concrete Structures,DES822,Minor,2,94
D,PhDBI,2,Cell Biology,CEL803,Major,3,94
D,PhDBI,2,Human Anatomy,HUM290,Major,4,90
D,PhDBI,2,Developmental Biology,DEV854,Major,1,81
D,PhDBI,2,Stem Cell Biology,STE622,Major,3,89
D,PhDBI,3,Physiology,PHY410,Major,4,79
D,PhDBI,3,Microbial Ecology,MIC133,Major,1,99
D,PhDBI,3,Endocrinology,END629,Major,3,88
D,PhDBI,3,Systems Biology,SYS490,Major,4,86
D,PhDBI,3,Biochemistry,BIO995,Major,4,85
D,PhDBI,3,General Biology,GEN603,Major,3,94
D,PhDBI,3,Evolutionary Ecology,EVO852,Major,2,79
D,PhDBI,3,Tunneling and Underground Engineering,TUN842,Minor,4,94
D,PhDBI,4,Genetics,GEN747,Major,2,94
D,PhDBI,4,Plant Physiology,PLA291,Major,2,87
D,PhDBI,4,Bioethics,BIO598,Major,2,76
D,PhDBI,4,Environmental Biology,ENV454,Major,1,96
D,PhDBI,4,Cancer Biology,CAN345,Major,1,97
D,PhDBI,4,Thermodynamics,THE970,Minor,2,96
D,PhDBI,5,Marine Biology,MAR778,Major,2,98
D,PhDBI,5,Structural Biology,STR830,Major,3,85
D,PhDBI,5,Pharmacology,PHA178,Major,1,75
D,PhDBI,5,Advanced Thermodynamics,ADV268,Minor,2,97
D,PhDBI,5,Classical Music Appreciation,CLA110,Minor,2,98
D,PhDBI,6,Evolutionary Biology,EVO611,Major,3,90
D,PhDBI,6,Biotechnology in Agriculture,BIO326,Major,4,78
D,PhDBI,6,Forensic Biology,FOR537,Major,1,76
D,PhDBI,6,Studio Art,STU223,Minor,2,97
D,PhDBI,6,Electronic Music Production,ELE967,Minor,3,97
D,PhDBI,7,Neurobiology,NEU555,Major,4,75
D,PhDBI,7,Computational Biology,COM774,Major,3,100
D,PhDBI,7,Medical Microbiology,MED358,Major,4,78
D,PhDBI,7,Biotechnology,BIO727,Major,1,84
D,PhDBI,7,Plant Biology,PLA110,Major,2,83
D,PhDBI,7,Digital Humanities,DIG906,Minor,1,75
G,MSBI,1,Genetic Engineering,GEN543,Major,1,82
G,MSBI,1,Marine Biology,MAR415,Major,1,82
G,MSBI,1,Biochemistry,BIO623,Major,3,97
G,MSBI,1,Systems Biology,SYS497,Major,2,82
G,MSBI,1,Evolutionary Biology,EVO138,Major,1,78
G,MSBI,1,Biophysics,BIO778,Major,3,100
G,MSBI,1,Molecular Genetics,MOL480,Major,3,81
G,MSBI,1,Physiology,PHY396,Major,1,82
G,MSBI,1,Neurobiology,NEU335,Major,3,87
G,MSBI,1,Fluid Dynamics,FLU916,Minor,3,86
G,MSBI,1,Environmental Chemistry,ENV729,Minor,4,75
G,MSBI,1,Astronautics,AST430,Minor,2,76
G,MSBI,2,Human Anatomy,HUM653,Major,2,88
G,MSBI,2,Biological Chemistry,BIO787,Major,4,100
G,MSBI,2,Endocrinology,END669,Major,1,90
G,MSBI,2,Pharmacology,PHA146,Major,1,83
G,MSBI,2,Popular Music Studies,POP760,Minor,4,89
G,MSBI,2,Advanced Thermodynamics,ADV589,Minor,4,87
